Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

361.92,21.8,102.0,89.2,616,100.37,43.7,
362.88,21.8,102.0,88.7,611,100.32,43.6,
363.84,21.8,102.0,90.3,591,100.34,43.5,
364.8,21.8,102.0,85.0,562,100.39,43.5,
365.76,21.8,102.0,80.8,494,100.37,43.5,
366.72,21.8,102.0,62.0,1000,100.37,43.5,
367.68,21.8,102.0,40.0,1000,100.33,43.5,
368.64,21.8,102.0,50.8,1000,100.34,43.5,
369.6,21.8,102.0,40.0,877,100.37,43.5,
370.56,21.8,102.0,40.0,835,100.38,43.5,
371.52,21.8,102.0,40.0,825,100.36,43.5,
372.48,21.8,102.0,40.0,592,100.36,43.4,
373.44,21.8,102.0,40.0,190,100.36,43.4,
374.4,21.8,102.2,40.0,121,100.38,43.3,
375.36,21.8,102.2,40.0,481,100.34,43.2,
376.32,21.8,102.2,40.0,765,100.37,43.3,
377.28,21.8,102.2,74.9,774,100.40,43.3,
378.24,21.8,102.2,66.9,822,100.34,43.2,
379.2,21.8,102.2,40.0,903,100.38,43.0,
380.16,21.8,102.2,40.7,929,100.38,43.0,
381.12,21.9,102.2,62.8,1000,100.37,42.9,
382.08,21.9,102.2,68.6,832,100.35,42.8,
383.04,21.9,102.2,67.6,453,100.36,42.8,
384,21.9,102.2,51.9,555,100.39,42.8,
384.96,21.9,102.2,40.0,744,100.35,42.7,
385.92,21.9,102.2,56.7,782,100.35,42.7,
386.88,21.9,102.2,40.0,779,100.39,42.7,
387.84,21.9,102.2,40.0,665,100.36,42.7,
388.8,21.9,102.2,40.0,522,100.38,42.6,
389.76,21.9,102.2,40.0,533,100.35,42.6,
390.72,21.9,102.2,40.0,584,100.33,42.6,
391.68,21.9,102.2,40.0,592,100.36,42.6,
392.64,21.9,102.2,40.0,547,100.37,42.6,
393.6,21.9,102.2,54.7,129,100.37,42.6,
394.56,21.9,102.2,51.1,26,100.36,42.6,
395.52,21.9,102.2,67.6,9,100.33,42.6,
396.48,21.9,102.2,73.0,6,100.37,42.6,
397.44,21.9,102.2,69.2,7,100.36,42.6,
398.4,21.9,102.2,51.5,8,100.41,42.7,
399.36,21.9,102.2,40.0,8,100.35,42.7,
400.32,21.9,102.2,46.6,8,100.34,42.6,
401.28,21.9,102.2,61.8,8,100.37,42.6,
402.24,21.9,102.2,40.0,8,100.37,42.6,
403.2,21.9,102.2,78.9,6,100.38,42.7,
404.16,21.9,102.2,70.8,5,100.34,42.9,
405.12,21.9,102.2,74.8,7,100.36,43.1,
406.08,21.9,102.2,55.8,1000,100.36,43.1,
407.04,21.9,102.2,40.0,1000,100.34,43.1,
408,21.9,102.2,69.7,1000,100.35,43.1,
408.96,21.9,102.2,70.5,1000,100.35,43.1,
409.92,21.9,102.2,47.5,1000,100.38,43.0,
410.88,21.9,102.2,63.6,1000,100.36,43.0,
411.84,21.9,102.2,70.6,1000,100.35,42.9,
412.8,21.9,102.4,71.1,1000,100.35,42.8,
413.76,21.9,102.4,67.3,1000,100.35,42.5,
414.72,21.9,102.4,41.3,1000,100.38,42.3,
415.68,21.9,102.2,48.9,1000,100.33,42.3,
416.64,21.9,102.4,51.8,1000,100.35,42.3,
417.6,21.9,102.4,65.4,1000,100.35,42.3,
418.56,21.9,102.4,68.9,1000,100.41,42.3,
419.52,21.9,102.2,56.6,498,100.34,42.4,
